frequency,word,skip1,skip2
2173,since,av0,1199
2170,essex,np0,515
2157,valid,aj0,849
2156,faced,vvn,1146
2148,egypt,np0,470
2143,silly,aj0,766
2138,blind,aj0,952
2136,boxes,nn2,894
2133,stand,vvb,1121
2131,angle,nn1,762
2128,sixth,ord,851
2127,colin,np0,569
2127,close,vvi,1026
2127,close,vvb,1093
2127,bones,nn2,765
2125,terry,np0,496
2114,occur,vvb,743
2110,moral,aj0-nn1,649
2103,rugby,nn1,310
2085,louis,np0,547
2080,lists,nn2,794
2076,right,itj,614
2074,sound,aj0-nn1,985
2073,kevin,np0,437
2070,calls,vvz,1031
2067,exact,aj0,1064
2061,known,aj0,950
2060,novel,nn1,457
2060,males,nn2,402
2051,diana,np0,243
2049,sorts,nn2,1006
2047,keeps,vvz,1056
2045,habit,nn1,961
2036,dealt,vvn,946
2034,turns,vvz,982
2033,maria,np0,385
2030,force,nn0,592
2027,alone,av0,1120
2026,awful,aj0,815
2024,opera,nn1,497
2024,black,aj0-nn1,894
2015,marks,nn2,755
2014,album,nn1,257
2006,foods,nn2,415
2006,delay,nn1,886
1993,treat,vvi,988
1986,state,nn1-np0,463
1986,pupil,nn1,471
1985,tower,nn1,634
1981,pairs,nn2,722
1975,sound,vvi,892
1970,shift,nn1,829
1968,risks,nn2,783
1968,naked,aj0,727
1968,adult,nn1,685
1963,teach,vvi,843
1954,billy,np0,331
1950,still,aj0-av0,1098
1950,genes,nn2,207
1949,grant,np0,399
1946,storm,nn1,776
1946,speak,vvb,984
1939,hopes,nn2,910
1932,gross,aj0,706
1932,dates,nn2,815
1931,kelly,np0,353
1928,lived,vvn,981
1925,earth,nn1-np0,413
1924,posts,nn2,727
1911,curve,nn1,479
1906,emily,np0,169
1905,files,nn2,457
1902,white,aj0-nn1,817
1898,helps,vvz,973
1895,calls,nn2,825
1891,sheer,aj0,983
1888,spend,vvb,928
1888,moore,np0,484
1887,susan,np0,391
1887,clare,np0,289
1874,eliot,np0,134
1873,cross,nn1,710
1869,steam,nn1,649
1868,actor,nn1,506
1847,lease,nn1,415
1847,adopt,vvi,912
1846,learn,vvb,861
1844,leads,vvz,977
1842,match,vvi,1021
1837,wives,nn2,681
1836,plays,vvz,825
1830,sadly,av0,922
1825,fails,vvz,910
1822,named,vvn,832
1821,daily,np0,528
1819,lives,vvz,861
1819,boats,nn2,603
1815,above,aj0,686
1814,stood,vvd-vvn,899
1813,tight,aj0,957
1809,great,np0,640
1808,place,vvi,1059
1807,diary,nn1,683
1806,bonds,nn2,429
1805,piano,nn1,429
1805,apple,nn1,592
1799,cloth,nn1,676
1798,point,vvi,1010
1798,evans,np0,467
1792,gates,nn2,732
1788,refer,vvi,807
1783,uncle,nn1,531
1783,paint,nn1,572
1782,greek,aj0,454
1777,cloud,nn1,721
1776,cross,np0,644
1770,bible,nn1,488
1769,arise,vvi,786
1767,talks,nn2-vvz,596
1767,round,aj0-nn1,646
1758,dutch,aj0,620
1757,print,nn1,744
1750,being,nn1,877
1749,plans,nn2-vvz,780
1747,lands,nn2,470
1745,guard,nn1,723
1737,throw,vvi,979
1732,named,vvd-vvn,888
1729,allen,np0,507
1728,asian,aj0,468
1727,movie,nn1,391
1722,barry,np0,473
1716,baker,np0,465
1715,shots,nn2,535
1715,grain,nn1,571
1704,marie,np0,295
1702,force,vvi,908
1700,calls,nn2-vvz,937
1694,hotel,np0,327
1689,crash,nn1,632
1684,serve,vvb,758
1681,edges,nn2,672
1679,refer,vvb,699
1678,alarm,nn1,775
1677,reign,nn1,386
1675,shell,nn1,621
1673,leads,nn2-vvz,808
1667,cheek,nn1,580
1665,audit,nn1,264
1655,robin,np0,540
1655,lover,nn1,624
1652,touch,vvi,802
1645,saved,vvn,886
1644,blame,vvi,848
1642,start,nn1-vvb,861
1642,mouse,nn1,426
1634,sizes,nn2,655
1633,panic,nn1,705
1628,risen,vvn,844
1626,debts,nn2,513
1624,loose,aj0,832
1624,fleet,nn0,484
1624,farms,nn2,500
1615,cream,nn1,538
1611,roman,aj0-nn1,424
1610,opens,vvz,805
1609,asset,nn1,575
1607,spare,aj0,865
1600,solve,vvi,870
1600,noted,vvd-vvn,794
1599,mixed,aj0,858
1596,likes,vvz,773
1596,derek,np0,479
1588,crazy,aj0,616
1588,bruce,np0,442
1586,enter,vvb,800
1585,waste,aj0-nn1,534
1584,chaos,nn1,680
1582,queen,nn1-np0,507
1578,korea,np0,314
1571,ideal,aj0-nn1,725
